"Exporter","Importer",2013,2014,2015,2016,2017,2018,2019,2020
82,13,90,62,58,96,70,110,135,0
84,13,16,26,86,48,33,83,339,0
95,13,0,0,0,0,0,0,0,0
100,13,0,0,0,0,0,0,0,0
101,13,25,40,60,71,115,116,101,0
108,13,0,0,0,0,0,0,0,0
123,13,68,58,50,54,60,86,91,0
139,13,2,3,3,5,3,4,13,0
140,13,3,3,2,2,3,5,4,0
142,13,0,1,1,1,2,2,2,0
143,13,2,2,3,4,4,6,23,0
153,13,0,0,0,0,0,0,0,0
157,13,7,4,3,3,3,0,0,0
158,13,0,0,0,0,0,0,0,0
167,13,47,63,73,131,156,150,27,0
185,13,400,550,425,0,0,0,0,0
186,13,641,583,505,545,640,695,733,574
2,14,0,0,0,0,0,0,0,0
10,14,3,3,3,6,5,12,13,0
17,14,13,9,9,22,8,19,12,0
23,14,0,0,0,0,0,0,0,0
27,14,0,1,0,1,1,1,1,0
43,14,0,1,0,0,0,0,0,0
45,14,0,4,1,0,0,0,0,0
46,14,1,3,4,9,3,6,4,0
47,14,26,23,20,20,46,72,48,0
57,14,0,0,0,1,1,1,2,0
60,14,21,16,10,10,10,7,11,0
61,14,24,29,24,22,172,64,62,0
65,14,44,68,62,71,97,113,123,0
67,14,0,0,65,60,85,127,110,0
75,14,83,96,103,99,105,115,110,0
76,14,0,1,0,0,0,0,0,0
77,14,0,0,0,0,0,0,0,0
82,14,8,0,0,11,14,21,21,0
84,14,47,39,52,33,22,41,34,0
95,14,0,0,0,0,2,1,0,0
100,14,2,1,0,0,0,0,2,0
101,14,64,57,51,49,38,34,36,0
105,14,168,276,170,184,192,247,378,44
108,14,0,0,0,0,0,0,0,0
123,14,67,33,33,37,43,97,102,0
139,14,0,1,0,1,0,3,5,0
140,14,0,1,1,1,2,1,1,0
142,14,2,1,1,0,0,0,0,0
143,14,5,47,41,136,187,744,621,0
153,14,0,0,0,0,0,0,0,0
157,14,0,37,0,0,0,0,0,0
158,14,0,0,0,0,0,0,0,0
167,14,45,60,51,41,33,27,22,0
185,14,585,430,597,0,0,0,0,0
2,15,0,0,0,0,0,0,0,0
10,15,0,0,0,0,0,0,0,0
17,15,19,41,7,8,15,18,10,0
23,15,0,0,0,0,0,0,0,0
27,15,0,0,0,0,5,6,2,0
33,15,533,425,293,389,407,431,427,0
43,15,0,4,0,0,1,0,2,0
