Exporter,Importer,Lookup,2013,2014,2015,2016,2017,2018,2019,2020
Luxembourg,Samoa,LuxembourgSamoa,1,23,19,17,20,13,9,
Malta,Samoa,MaltaSamoa,0,,,,0,,,
Netherlands,Samoa,NetherlandsSamoa,2,1,1,1,1,2,1,
New Zealand,Samoa,New ZealandSamoa,50,69,76,70,82,83,,
Poland,Samoa,PolandSamoa,0,1,0,0,0,0,0,
Portugal,Samoa,PortugalSamoa,0,0,0,0,0,0,0,
Russian Federation,Samoa,Russian FederationSamoa,0,0,0,1,1,,,
Serbia,Samoa,SerbiaSamoa,0,0,0,0,0,0,0,
Slovakia,Samoa,SlovakiaSamoa,0,0,0,0,0,0,0,
Slovenia,Samoa,SloveniaSamoa,0,0,0,0,0,0,0,
Sweden,Samoa,SwedenSamoa,1,1,2,1,0,0,0,
United Kingdom,Samoa,United KingdomSamoa,0,0,0,,,,,
Albania,San Marino,AlbaniaSan Marino,,,,,0,0,,
Austria,San Marino,AustriaSan Marino,1,3,3,9,8,7,7,
Belgium,San Marino,BelgiumSan Marino,1,3,1,1,1,2,1,
Bosnia and Herzegovina,San Marino,Bosnia and HerzegovinaSan Marino,,,0,0,0,0,0,
Bulgaria,San Marino,BulgariaSan Marino,0,0,0,0,0,0,0,
Croatia,San Marino,CroatiaSan Marino,0,1,0,0,0,0,0,
Cyprus,San Marino,CyprusSan Marino,0,0,0,0,0,0,0,
Czech Republic,San Marino,Czech RepublicSan Marino,0,0,0,0,0,30,1,
Denmark,San Marino,DenmarkSan Marino,0,0,0,0,0,0,1,
Estonia,San Marino,EstoniaSan Marino,0,0,,0,0,0,3,
Finland,San Marino,FinlandSan Marino,0,0,0,0,0,0,0,
France,San Marino,FranceSan Marino,,,,,0,1,0,
Germany,San Marino,GermanySan Marino,3,1,1,3,,7,7,
Greece,San Marino,GreeceSan Marino,0,0,0,0,0,0,0,
Hungary,San Marino,HungarySan Marino,4,,1,1,1,0,0,
Iceland,San Marino,IcelandSan Marino,0,0,0,0,0,0,0,
Ireland,San Marino,IrelandSan Marino,0,0,0,0,0,0,0,
Italy,San Marino,ItalySan Marino,70,83,75,63,63,72,107,
Latvia,San Marino,LatviaSan Marino,0,0,0,0,0,0,0,
Lithuania,San Marino,LithuaniaSan Marino,0,0,0,0,0,,0,
Luxembourg,San Marino,LuxembourgSan Marino,56,81,30,15,9,8,7,
Malta,San Marino,MaltaSan Marino,0,,,,,,,
Netherlands,San Marino,NetherlandsSan Marino,2,3,3,38,2,4,4,
Poland,San Marino,PolandSan Marino,0,0,0,2,3,3,3,
Portugal,San Marino,PortugalSan Marino,0,0,0,0,0,1,1,
Romania,San Marino,RomaniaSan Marino,10,9,8,12,10,7,7,
Russian Federation,San Marino,Russian FederationSan Marino,3,2,3,3,1,2,5,
Serbia,San Marino,SerbiaSan Marino,0,0,0,0,0,0,0,
Slovakia,San Marino,SlovakiaSan Marino,0,0,0,0,0,0,0,
Slovenia,San Marino,SloveniaSan Marino,2,0,0,1,0,1,1,
Sweden,San Marino,SwedenSan Marino,0,1,0,0,0,0,0,
United Kingdom,San Marino,United KingdomSan Marino,0,0,0,,,,,
Albania,Sao Tome and Principe,AlbaniaSao Tome and Principe,,,,,0,0,,
Austria,Sao Tome and Principe,AustriaSao Tome and Principe,0,0,0,0,0,0,0,
Belgium,Sao Tome and Principe,BelgiumSao Tome and Principe,0,1,1,1,0,0,0,
Bosnia and Herzegovina,Sao Tome and Principe,Bosnia and HerzegovinaSao Tome and Principe,,,0,0,0,0,0,
Bulgaria,Sao Tome and Principe,BulgariaSao Tome and Principe,0,0,0,0,0,0,0,
Croatia,Sao Tome and Principe,CroatiaSao Tome and Principe,0,0,0,0,0,0,0,
Cyprus,Sao Tome and Principe,CyprusSao Tome and Principe,0,0,0,0,0,0,0,
Czech Republic,Sao Tome and Principe,Czech RepublicSao Tome and Principe,0,18,15,15,16,17,16,
Denmark,Sao Tome and Principe,DenmarkSao Tome and Principe,0,0,0,0,0,0,0,
Estonia,Sao Tome and Principe,EstoniaSao Tome and Principe,,,0,0,0,0,,
Finland,Sao Tome and Principe,FinlandSao Tome and Principe,0,0,0,0,0,0,0,
France,Sao Tome and Principe,FranceSao Tome and Principe,,0,0,,,,,
Germany,Sao Tome and Principe,GermanySao Tome and Principe,0,0,0,0,0,0,,
Greece,Sao Tome and Principe,GreeceSao Tome and Principe,0,0,10,9,10,11,3,
Hungary,Sao Tome and Principe,HungarySao Tome and Principe,,,,0,,,,
Iceland,Sao Tome and Principe,IcelandSao Tome and Principe,0,0,0,0,0,0,0,
Ireland,Sao Tome and Principe,IrelandSao Tome and Principe,0,0,0,0,0,0,0,
Italy,Sao Tome and Principe,ItalySao Tome and Principe,0,1,0,0,0,0,0,
Latvia,Sao Tome and Principe,LatviaSao Tome and Principe,0,0,0,0,0,0,0,
Lithuania,Sao Tome and Principe,LithuaniaSao Tome and Principe,0,0,0,0,0,,0,
Luxembourg,Sao Tome and Principe,LuxembourgSao Tome and Principe,0,0,0,0,1,0,0,
Malta,Sao Tome and Principe,MaltaSao Tome and Principe,0,,,,,,,
Netherlands,Sao Tome and Principe,NetherlandsSao Tome and Principe,6,2,1,1,0,1,1,
Poland,Sao Tome and Principe,PolandSao Tome and Principe,0,0,0,0,0,0,0,
Portugal,Sao Tome and Principe,PortugalSao Tome and Principe,9,21,13,13,14,13,10,
Romania,Sao Tome and Principe,RomaniaSao Tome and Principe,,0,,,,,,
Russian Federation,Sao Tome and Principe,Russian FederationSao Tome and Principe,,0,0,0,0,0,0,
Serbia,Sao Tome and Principe,SerbiaSao Tome and Principe,0,0,0,0,0,0,0,
Slovakia,Sao Tome and Principe,SlovakiaSao Tome and Principe,0,0,0,0,0,0,0,
Slovenia,Sao Tome and Principe,SloveniaSao Tome and Principe,0,0,0,0,0,0,0,
Sweden,Sao Tome and Principe,SwedenSao Tome and Principe,1,1,1,0,0,0,0,
United Kingdom,Sao Tome and Principe,United KingdomSao Tome and Principe,0,0,0,,,,,
Albania,Saudi Arabia,AlbaniaSaudi Arabia,,,,,2,2,,
Austria,Saudi Arabia,AustriaSaudi Arabia,171,179,191,149,192,234,241,
Belgium,Saudi Arabia,BelgiumSaudi Arabia,369,371,273,343,360,372,334,
Bosnia and Herzegovina,Saudi Arabia,Bosnia and HerzegovinaSaudi Arabia,,,12,23,31,38,71,
Bulgaria,Saudi Arabia,BulgariaSaudi Arabia,3,3,5,11,3,4,6,
Canada,Saudi Arabia,CanadaSaudi Arabia,455,497,475,430,419,337,286,
Croatia,Saudi Arabia,CroatiaSaudi Arabia,2,1,3,5,3,3,11,
Cyprus,Saudi Arabia,CyprusSaudi Arabia,31,11,8,15,12,9,10,
Czech Republic,Saudi Arabia,Czech RepublicSaudi Arabia,36,19,47,44,63,105,51,
Denmark,Saudi Arabia,DenmarkSaudi Arabia,374,453,371,372,334,421,441,
Estonia,Saudi Arabia,EstoniaSaudi Arabia,1,0,0,1,1,1,3,
Finland,Saudi Arabia,FinlandSaudi Arabia,145,126,94,64,131,157,165,
France,Saudi Arabia,FranceSaudi Arabia,1353,1890,1695,1814,1796,1450,1215,
Germany,Saudi Arabia,GermanySaudi Arabia,991,1148,1104,,,,1374,
Greece,Saudi Arabia,GreeceSaudi Arabia,46,53,214,172,190,226,221,
Hong Kong,Saudi Arabia,Hong KongSaudi Arabia,70,,,,,,,
Hungary,Saudi Arabia,HungarySaudi Arabia,7,5,6,5,4,5,5,
Iceland,Saudi Arabia,IcelandSaudi Arabia,278,269,233,179,186,158,155,
Ireland,Saudi Arabia,IrelandSaudi Arabia,639,748,690,630,740,925,1247,
Italy,Saudi Arabia,ItalySaudi Arabia,456,442,483,507,559,594,521,
Japan,Saudi Arabia,JapanSaudi Arabia,,387,1710,464,625,366,,
Latvia,Saudi Arabia,LatviaSaudi Arabia,1,1,1,1,1,1,3,
Lithuania,Saudi Arabia,LithuaniaSaudi Arabia,1,0,1,1,0,,1,
Luxembourg,Saudi Arabia,LuxembourgSaudi Arabia,130,146,128,136,158,122,141,
Malaysia,Saudi Arabia,MalaysiaSaudi Arabia,475,511,399,391,463,350,366,154
Malta,Saudi Arabia,MaltaSaudi Arabia,4,,,,12,,,
Netherlands,Saudi Arabia,NetherlandsSaudi Arabia,1482,5233,4443,4643,5723,5882,3992,
New Zealand,Saudi Arabia,New ZealandSaudi Arabia,105,95,85,73,66,73,,
Poland,Saudi Arabia,PolandSaudi Arabia,16,16,18,26,32,38,22,
Portugal,Saudi Arabia,PortugalSaudi Arabia,20,82,36,46,41,45,57,
Romania,Saudi Arabia,RomaniaSaudi Arabia,12,15,22,13,13,19,16,
Russian Federation,Saudi Arabia,Russian FederationSaudi Arabia,10,18,8,3,8,11,20,
Serbia,Saudi Arabia,SerbiaSaudi Arabia,1,1,3,7,5,28,35,
Singapore,Saudi Arabia,SingaporeSaudi Arabia,479,468,416,372,308,360,472,
Slovakia,Saudi Arabia,SlovakiaSaudi Arabia,1,1,1,1,3,3,4,
Slovenia,Saudi Arabia,SloveniaSaudi Arabia,2,2,2,1,2,2,6,
Sweden,Saudi Arabia,SwedenSaudi Arabia,606,655,629,568,567,618,681,
United Kingdom,Saudi Arabia,United KingdomSaudi Arabia,3810,2764,8461,7707,7143,5269,3260,4935
United States,Saudi Arabia,United StatesSaudi Arabia,8488,8247,8987,8711,8901,8574,9477,10369
Albania,Senegal,AlbaniaSenegal,,,,,0,0,,
Austria,Senegal,AustriaSenegal,1,3,3,6,5,4,6,
Belgium,Senegal,BelgiumSenegal,39,57,44,79,47,46,54,
Bosnia and Herzegovina,Senegal,Bosnia and HerzegovinaSenegal,,,0,0,0,0,0,
Bulgaria,Senegal,BulgariaSenegal,0,0,0,0,0,0,0,
Canada,Senegal,CanadaSenegal,52,54,67,48,48,47,52,
Croatia,Senegal,CroatiaSenegal,0,0,0,0,0,0,0,
Cyprus,Senegal,CyprusSenegal,0,0,0,0,0,,,
Czech Republic,Senegal,Czech RepublicSenegal,0,0,1,0,0,14,0,
Denmark,Senegal,DenmarkSenegal,37,44,41,49,55,60,69,
Estonia,Senegal,EstoniaSenegal,0,0,0,1,0,0,1,
Finland,Senegal,FinlandSenegal,9,20,9,13,12,5,11,
France,Senegal,FranceSenegal,297,272,301,401,333,393,446,
Germany,Senegal,GermanySenegal,25,17,18,,44,,28,
Greece,Senegal,GreeceSenegal,1,0,17,15,22,32,32,
Hungary,Senegal,HungarySenegal,0,0,0,0,0,0,0,
Iceland,Senegal,IcelandSenegal,0,0,0,0,0,0,0,
Ireland,Senegal,IrelandSenegal,8,,0,1,0,,,
Italy,Senegal,ItalySenegal,24,13,14,18,20,13,12,
Latvia,Senegal,LatviaSenegal,0,0,0,0,0,0,0,
Lithuania,Senegal,LithuaniaSenegal,0,0,0,0,1,,0,
Luxembourg,Senegal,LuxembourgSenegal,65,58,32,20,18,19,20,
Netherlands,Senegal,NetherlandsSenegal,128,58,54,78,79,97,92,
Poland,Senegal,PolandSenegal,2,3,1,2,2,2,2,
Portugal,Senegal,PortugalSenegal,29,29,42,13,17,28,18,
Romania,Senegal,RomaniaSenegal,0,1,1,0,0,0,0,
Russian Federation,Senegal,Russian FederationSenegal,0,0,0,0,0,1,0,
Serbia,Senegal,SerbiaSenegal,0,0,0,0,0,0,0,
Slovakia,Senegal,SlovakiaSenegal,0,0,0,0,0,0,0,
Slovenia,Senegal,SloveniaSenegal,0,0,0,0,0,1,0,
Sweden,Senegal,SwedenSenegal,12,26,6,5,5,2,6,
United Kingdom,Senegal,United KingdomSenegal,38,58,44,,,,,
Albania,Serbia,AlbaniaSerbia,,,,,25,48,,
Austria,Serbia,AustriaSerbia,230,247,201,199,204,241,273,
Belgium,Serbia,BelgiumSerbia,72,50,40,43,45,64,62,
Bosnia and Herzegovina,Serbia,Bosnia and HerzegovinaSerbia,,,147,127,148,180,182,
Bulgaria,Serbia,BulgariaSerbia,140,148,124,122,137,161,180,
Croatia,Serbia,CroatiaSerbia,342,336,314,295,307,295,332,
Cyprus,Serbia,CyprusSerbia,12,16,11,12,11,12,11,
Czech Republic,Serbia,Czech RepublicSerbia,48,38,59,66,70,129,77,
Denmark,Serbia,DenmarkSerbia,10,36,23,19,23,34,32,
Estonia,Serbia,EstoniaSerbia,1,2,2,2,3,3,11,
Finland,Serbia,FinlandSerbia,9,16,11,13,18,18,20,
France,Serbia,FranceSerbia,81,50,103,90,68,137,137,
Germany,Serbia,GermanySerbia,,,,224,,,331,
Greece,Serbia,GreeceSerbia,412,531,354,348,468,412,442,
Hungary,Serbia,HungarySerbia,395,335,271,289,341,377,398,
Iceland,Serbia,IcelandSerbia,2,2,1,1,1,1,1,
Ireland,Serbia,IrelandSerbia,,,51,44,47,68,,
Italy,Serbia,ItalySerbia,396,337,234,196,207,215,225,
Latvia,Serbia,LatviaSerbia,1,1,2,3,3,1,2,
Lithuania,Serbia,LithuaniaSerbia,1,2,1,3,4,,7,
Luxembourg,Serbia,LuxembourgSerbia,7,31,24,24,32,31,28,
Malta,Serbia,MaltaSerbia,8,,,,17,,,
Netherlands,Serbia,NetherlandsSerbia,107,60,48,35,46,67,59,
Poland,Serbia,PolandSerbia,22,45,32,40,39,47,47,
Portugal,Serbia,PortugalSerbia,3,3,2,3,5,5,8,
Romania,Serbia,RomaniaSerbia,72,84,82,69,64,74,97,
Russian Federation,Serbia,Russian FederationSerbia,334,356,221,175,256,329,317,
Slovakia,Serbia,SlovakiaSerbia,13,30,24,38,47,46,51,
Slovenia,Serbia,SloveniaSerbia,204,225,168,181,181,208,214,
Sweden,Serbia,SwedenSerbia,45,30,25,26,28,31,43,
United Kingdom,Serbia,United KingdomSerbia,59,66,50,76,224,121,144,128
Albania,Seychelles,AlbaniaSeychelles,,,,,0,1,,
Austria,Seychelles,AustriaSeychelles,5,4,4,4,2,5,4,
Belgium,Seychelles,BelgiumSeychelles,8,9,13,12,21,15,28,
Bosnia and Herzegovina,Seychelles,Bosnia and HerzegovinaSeychelles,,,0,0,0,0,0,
Bulgaria,Seychelles,BulgariaSeychelles,0,2,5,4,3,1,3,
Croatia,Seychelles,CroatiaSeychelles,0,0,0,1,1,4,1,
Cyprus,Seychelles,CyprusSeychelles,-1,41,21,14,7,14,8,
Czech Republic,Seychelles,Czech RepublicSeychelles,2,5,3,2,1,4,0,
Denmark,Seychelles,DenmarkSeychelles,3,4,1,7,13,6,6,
Estonia,Seychelles,EstoniaSeychelles,5,4,3,6,7,4,10,
Finland,Seychelles,FinlandSeychelles,0,4,3,1,3,6,3,
France,Seychelles,FranceSeychelles,24,46,22,25,28,48,41,
Germany,Seychelles,GermanySeychelles,,,,14,15,19,9,
Greece,Seychelles,GreeceSeychelles,0,1,10,9,10,13,12,
Hungary,Seychelles,HungarySeychelles,5,5,2,2,1,2,7,
Iceland,Seychelles,IcelandSeychelles,0,0,0,0,0,0,0,
Ireland,Seychelles,IrelandSeychelles,0,0,0,0,0,,,
Italy,Seychelles,ItalySeychelles,1,2,5,3,1,1,5,
Latvia,Seychelles,LatviaSeychelles,8,11,27,19,16,8,1,
Lithuania,Seychelles,LithuaniaSeychelles,7,4,3,2,6,,1,
Luxembourg,Seychelles,LuxembourgSeychelles,13,39,42,34,28,22,29,
Malta,Seychelles,MaltaSeychelles,0,,,,49,,,
Netherlands,Seychelles,NetherlandsSeychelles,7,8,7,8,11,14,14,
Poland,Seychelles,PolandSeychelles,2,2,2,2,3,14,3,
Portugal,Seychelles,PortugalSeychelles,12,11,6,6,6,18,18,
Romania,Seychelles,RomaniaSeychelles,28,6,5,6,3,3,2,
Russian Federation,Seychelles,Russian FederationSeychelles,85,79,52,64,84,,,
Serbia,Seychelles,SerbiaSeychelles,1,1,1,1,1,1,1,
Slovakia,Seychelles,SlovakiaSeychelles,0,0,0,0,2,0,0,
Slovenia,Seychelles,SloveniaSeychelles,0,1,2,0,0,0,0,
Sweden,Seychelles,SwedenSeychelles,2,11,1,2,2,2,1,
United Kingdom,Seychelles,United KingdomSeychelles,20,30,24,,,,,
Albania,Sierra Leone,AlbaniaSierra Leone,,,,,0,0,,
Austria,Sierra Leone,AustriaSierra Leone,7,8,10,8,8,5,6,
Belgium,Sierra Leone,BelgiumSierra Leone,24,5,3,15,35,9,4,
Bosnia and Herzegovina,Sierra Leone,Bosnia and HerzegovinaSierra Leone,,,0,0,0,0,0,
Bulgaria,Sierra Leone,BulgariaSierra Leone,0,0,0,0,0,0,4,
Croatia,Sierra Leone,CroatiaSierra Leone,0,0,0,0,0,0,0,
Cyprus,Sierra Leone,CyprusSierra Leone,0,,0,0,0,0,0,
Czech Republic,Sierra Leone,Czech RepublicSierra Leone,0,0,0,0,0,6,0,
Denmark,Sierra Leone,DenmarkSierra Leone,3,7,11,17,24,32,30,
Estonia,Sierra Leone,EstoniaSierra Leone,0,0,0,0,0,0,0,
Finland,Sierra Leone,FinlandSierra Leone,1,1,0,0,0,0,0,
France,Sierra Leone,FranceSierra Leone,9,7,,6,9,12,10,
Germany,Sierra Leone,GermanySierra Leone,9,8,3,7,12,11,6,
Greece,Sierra Leone,GreeceSierra Leone,0,0,8,7,12,6,3,
Hungary,Sierra Leone,HungarySierra Leone,0,0,0,0,0,0,0,
Iceland,Sierra Leone,IcelandSierra Leone,0,0,1,2,0,0,0,
Ireland,Sierra Leone,IrelandSierra Leone,0,,0,0,0,0,1,
Italy,Sierra Leone,ItalySierra Leone,2,1,0,0,13,1,0,
Latvia,Sierra Leone,LatviaSierra Leone,0,0,0,1,0,0,0,
Lithuania,Sierra Leone,LithuaniaSierra Leone,0,0,0,0,0,,0,
Luxembourg,Sierra Leone,LuxembourgSierra Leone,1,13,19,18,9,1,1,
Malta,Sierra Leone,MaltaSierra Leone,,,,,,,,
Netherlands,Sierra Leone,NetherlandsSierra Leone,35,12,12,7,8,11,5,
Poland,Sierra Leone,PolandSierra Leone,0,0,0,0,0,0,0,
Portugal,Sierra Leone,PortugalSierra Leone,0,0,3,8,0,0,0,
Romania,Sierra Leone,RomaniaSierra Leone,5,15,9,1,3,5,4,
Russian Federation,Sierra Leone,Russian FederationSierra Leone,1,0,0,0,0,0,0,
Serbia,Sierra Leone,SerbiaSierra Leone,0,0,0,0,0,0,0,
Slovakia,Sierra Leone,SlovakiaSierra Leone,0,1,0,0,0,0,0,
Slovenia,Sierra Leone,SloveniaSierra Leone,0,0,0,0,0,0,0,
Sweden,Sierra Leone,SwedenSierra Leone,9,6,4,3,7,5,5,
United Kingdom,Sierra Leone,United KingdomSierra Leone,31,44,50,,,,,
Albania,Singapore,AlbaniaSingapore,,,,,1,4,3,
Australia,Singapore,AustraliaSingapore,3675,3493,3268,3872,4087,3834,,
Austria,Singapore,AustriaSingapore,112,102,92,99,119,167,128,
Belgium,Singapore,BelgiumSingapore,883,921,839,838,1234,1502,1559,
Bosnia and Herzegovina,Singapore,Bosnia and HerzegovinaSingapore,,,0,0,0,2,1,
Bulgaria,Singapore,BulgariaSingapore,5,6,8,7,9,11,11,
Canada,Singapore,CanadaSingapore,739,649,527,553,572,682,690,
Croatia,Singapore,CroatiaSingapore,24,25,28,24,32,33,31,
Cyprus,Singapore,CyprusSingapore,135,138,150,149,181,209,205,
Czech Republic,Singapore,Czech RepublicSingapore,74,84,58,58,49,66,79,
Denmark,Singapore,DenmarkSingapore,1962,1790,1753,1730,2087,2603,2915,
Estonia,Singapore,EstoniaSingapore,25,28,37,50,68,87,91,
Finland,Singapore,FinlandSingapore,118,142,346,288,376,459,502,
France,Singapore,FranceSingapore,3314,4017,3361,3479,3735,4309,4281,
Germany,Singapore,GermanySingapore,3813,4044,3582,3680,4218,4896,4491,
Greece,Singapore,GreeceSingapore,516,580,935,800,1063,1234,1305,
Hong Kong,Singapore,Hong KongSingapore,3082,3531,3801,3800,4133,4366,4108,
Hungary,Singapore,HungarySingapore,106,200,117,80,84,84,82,
Iceland,Singapore,IcelandSingapore,205,10,12,26,25,21,23,
Ireland,Singapore,IrelandSingapore,1078,1327,1355,2041,4304,6942,3008,
Italy,Singapore,ItalySingapore,371,364,571,408,403,545,605,
Japan,Singapore,JapanSingapore,,9982,9530,11210,11575,13452,,
Latvia,Singapore,LatviaSingapore,12,17,21,19,37,17,24,
Lithuania,Singapore,LithuaniaSingapore,13,22,,,32,,34,
Luxembourg,Singapore,LuxembourgSingapore,758,945,882,955,999,1301,1186,
Malaysia,Singapore,MalaysiaSingapore,13590,13278,10554,11220,11331,11104,9890,4488
Malta,Singapore,MaltaSingapore,7,,,,42,,,
Netherlands,Singapore,NetherlandsSingapore,4611,8360,7091,7312,8592,11063,12219,
New Zealand,Singapore,New ZealandSingapore,267,278,289,274,306,324,,
Poland,Singapore,PolandSingapore,132,131,142,163,265,329,394,
Portugal,Singapore,PortugalSingapore,58,70,50,59,70,85,85,
Romania,Singapore,RomaniaSingapore,64,93,94,117,147,214,248,
Russian Federation,Singapore,Russian FederationSingapore,239,520,396,319,388,494,682,
Serbia,Singapore,SerbiaSingapore,5,4,2,4,7,11,16,
Slovakia,Singapore,SlovakiaSingapore,20,29,48,69,74,77,76,
Slovenia,Singapore,SloveniaSingapore,13,15,16,18,22,27,22,
Spain,Singapore,SpainSingapore,635,367,307,376,456,501,534,
Sweden,Singapore,SwedenSingapore,275,239,227,225,258,331,343,
Switzerland,Singapore,SwitzerlandSingapore,1603,1467,1586,1860,2408,2937,,
United Kingdom,Singapore,United KingdomSingapore,6131,4910,5483,4438,4820,5142,6080,5141
United States,Singapore,United StatesSingapore,11613,12165,14758,18764,21203,24567,25398,24695
Albania,Slovakia,AlbaniaSlovakia,,,,,4,5,4,
Austria,Slovakia,AustriaSlovakia,1008,1072,977,1017,1018,1138,1127,920
Belgium,Slovakia,BelgiumSlovakia,239,332,251,269,321,340,277,305
Bosnia and Herzegovina,Slovakia,Bosnia and HerzegovinaSlovakia,,,6,11,8,18,16,
Bulgaria,Slovakia,BulgariaSlovakia,59,72,60,65,65,82,77,
Croatia,Slovakia,CroatiaSlovakia,261,263,232,270,270,230,344,105
Cyprus,Slovakia,CyprusSlovakia,4,7,8,10,14,28,31,12
Czech Republic,Slovakia,Czech RepublicSlovakia,1732,1717,1745,1593,1809,1980,1868,1598
Denmark,Slovakia,DenmarkSlovakia,81,109,145,113,116,122,95,
Estonia,Slovakia,EstoniaSlovakia,7,11,8,10,12,25,24,18
Finland,Slovakia,FinlandSlovakia,21,25,23,27,42,37,63,43
France,Slovakia,FranceSlovakia,272,329,577,778,756,360,336,260
Germany,Slovakia,GermanySlovakia,861,1117,942,,1272,,1484,1306
Greece,Slovakia,GreeceSlovakia,61,72,57,57,50,76,72,
Hungary,Slovakia,HungarySlovakia,740,850,767,802,859,892,818,535
Iceland,Slovakia,IcelandSlovakia,2,3,3,5,6,6,6,
Ireland,Slovakia,IrelandSlovakia,122,137,131,112,128,154,85,53
Italy,Slovakia,ItalySlovakia,725,632,491,578,538,551,404,422
Latvia,Slovakia,LatviaSlovakia,4,4,6,6,6,12,7,5
Lithuania,Slovakia,LithuaniaSlovakia,12,18,,14,13,13,13,13
Luxembourg,Slovakia,LuxembourgSlovakia,155,170,178,197,195,169,120,
Malta,Slovakia,MaltaSlovakia,7,,,,11,,,
Netherlands,Slovakia,NetherlandsSlovakia,404,214,220,234,246,374,355,369
New Zealand,Slovakia,New ZealandSlovakia,3,5,3,3,4,6,,
Poland,Slovakia,PolandSlovakia,972,846,783,802,900,1006,968,834
Portugal,Slovakia,PortugalSlovakia,48,78,61,66,78,85,86,67
Romania,Slovakia,RomaniaSlovakia,110,104,119,123,152,160,161,163
Russian Federation,Slovakia,Russian FederationSlovakia,217,216,146,157,140,105,110,
Serbia,Slovakia,SerbiaSlovakia,33,41,42,46,74,84,65,46
Slovenia,Slovakia,SloveniaSlovakia,86,96,87,91,102,137,156,134
Spain,Slovakia,SpainSlovakia,135,134,143,189,188,248,247,
Sweden,Slovakia,SwedenSlovakia,121,148,96,159,137,94,103,152
United Kingdom,Slovakia,United KingdomSlovakia,255,283,293,390,372,452,567,518
United States,Slovakia,United StatesSlovakia,292,345,347,360,326,341,371,246
Albania,Slovenia,AlbaniaSlovenia,,,,,9,9,10,
Austria,Slovenia,AustriaSlovenia,786,753,605,660,716,802,789,666
Belgium,Slovenia,BelgiumSlovenia,76,105,88,92,167,128,125,124
Bosnia and Herzegovina,Slovenia,Bosnia and HerzegovinaSlovenia,,,134,159,164,186,160,
Bulgaria,Slovenia,BulgariaSlovenia,37,68,54,47,56,72,44,
Croatia,Slovenia,CroatiaSlovenia,918,744,785,787,910,1172,1080,801
Cyprus,Slovenia,CyprusSlovenia,1,3,2,6,6,5,4,
Czech Republic,Slovenia,Czech RepublicSlovenia,94,88,111,72,77,98,97,83
Denmark,Slovenia,DenmarkSlovenia,57,72,67,60,62,58,76,
Estonia,Slovenia,EstoniaSlovenia,3,5,6,22,13,10,8,5
Finland,Slovenia,FinlandSlovenia,13,15,14,11,16,18,22,
France,Slovenia,FranceSlovenia,146,197,122,158,155,169,175,133
Germany,Slovenia,GermanySlovenia,434,486,437,470,522,607,654,
Greece,Slovenia,GreeceSlovenia,39,40,48,47,52,73,71,
Hungary,Slovenia,HungarySlovenia,77,98,95,134,105,131,128,107
Iceland,Slovenia,IcelandSlovenia,3,3,3,3,3,3,4,
Ireland,Slovenia,IrelandSlovenia,58,57,63,69,79,113,142,266
Italy,Slovenia,ItalySlovenia,489,464,484,509,522,571,583,469
Latvia,Slovenia,LatviaSlovenia,4,12,9,7,7,12,11,15
Lithuania,Slovenia,LithuaniaSlovenia,12,16,15,,15,17,13,16
Luxembourg,Slovenia,LuxembourgSlovenia,56,57,36,45,52,44,39,
Malta,Slovenia,MaltaSlovenia,3,,,,,,,
Netherlands,Slovenia,NetherlandsSlovenia,91,89,61,95,,154,145,125
New Zealand,Slovenia,New ZealandSlovenia,2,2,1,2,3,3,,
Poland,Slovenia,PolandSlovenia,82,78,66,75,88,100,99,95
Portugal,Slovenia,PortugalSlovenia,12,17,12,13,16,18,20,8
Romania,Slovenia,RomaniaSlovenia,41,48,46,50,64,73,68,62
Russian Federation,Slovenia,Russian FederationSlovenia,161,159,98,95,123,119,117,
Serbia,Slovenia,SerbiaSlovenia,210,231,209,228,244,273,291,255
Slovakia,Slovenia,SlovakiaSlovenia,37,54,36,45,53,60,70,
Spain,Slovenia,SpainSlovenia,105,104,103,124,119,157,197,
Sweden,Slovenia,SwedenSlovenia,65,42,39,29,35,18,29,29
Switzerland,Slovenia,SwitzerlandSlovenia,50,57,53,83,90,94,,
United Kingdom,Slovenia,United KingdomSlovenia,136,151,125,167,199,199,203,128
United States,Slovenia,United StatesSlovenia,178,189,189,177,176,185,175,114
Albania,Solomon Islands,AlbaniaSolomon Islands,,,,,0,0,,
Austria,Solomon Islands,AustriaSolomon Islands,0,0,1,0,1,1,0,
Belgium,Solomon Islands,BelgiumSolomon Islands,0,0,0,0,0,0,0,
Bosnia and Herzegovina,Solomon Islands,Bosnia and HerzegovinaSolomon Islands,,,0,0,0,0,0,
Bulgaria,Solomon Islands,BulgariaSolomon Islands,0,0,0,0,0,0,0,
Croatia,Solomon Islands,CroatiaSolomon Islands,0,0,0,0,0,0,0,
Cyprus,Solomon Islands,CyprusSolomon Islands,0,0,0,2,0,0,0,
Czech Republic,Solomon Islands,Czech RepublicSolomon Islands,0,0,0,0,0,3,0,
Denmark,Solomon Islands,DenmarkSolomon Islands,0,0,3,0,0,0,0,
Estonia,Solomon Islands,EstoniaSolomon Islands,0,,,0,0,0,0,
Finland,Solomon Islands,FinlandSolomon Islands,0,1,0,0,0,0,0,
France,Solomon Islands,FranceSolomon Islands,,0,,,0,0,0,
Germany,Solomon Islands,GermanySolomon Islands,0,,0,,,0,0,
