Exporter,Importer,Lookup,2013,2014,2015,2016,2017,2018,2019,2020
Finland,Austria,FinlandAustria,623,472,493,499,678,784,1108,770
France,Austria,FranceAustria,1364,1501,935,1229,1011,1345,1329,909
Germany,Austria,GermanyAustria,9650,11088,9633,10199,11253,12374,12166,9867
Greece,Austria,GreeceAustria,457,481,425,404,457,591,638,
Hong Kong,Austria,Hong KongAustria,,,,,,,,
Hungary,Austria,HungaryAustria,1908,2089,1901,1833,1933,2247,2304,2328
Iceland,Austria,IcelandAustria,20,25,23,26,45,45,34,
Ireland,Austria,IrelandAustria,883,967,911,954,1055,1429,1487,1723
Italy,Austria,ItalyAustria,3019,3007,2596,2619,2940,3243,3353,2287
Latvia,Austria,LatviaAustria,76,73,48,54,59,78,48,57
Lithuania,Austria,LithuaniaAustria,140,193,,,302,370,447,420
Luxembourg,Austria,LuxembourgAustria,624,727,670,624,660,686,684,
Malaysia,Austria,MalaysiaAustria,164,171,128,135,155,180,181,154
Malta,Austria,MaltaAustria,118,,,,256,,,
Netherlands,Austria,NetherlandsAustria,1300,1264,1143,1206,1487,1812,2052,1807
Poland,Austria,PolandAustria,927,949,902,944,1059,1243,1311,1239
Portugal,Austria,PortugalAustria,242,498,292,235,287,301,296,157
Romania,Austria,RomaniaAustria,1009,1205,1090,1171,1404,1609,1745,1462
Russian Federation,Austria,Russian FederationAustria,787,631,486,438,448,463,453,
Serbia,Austria,SerbiaAustria,274,307,262,254,282,313,308,300
Slovakia,Austria,SlovakiaAustria,738,596,549,746,828,817,830,
Slovenia,Austria,SloveniaAustria,1010,1093,978,1044,1189,1359,1402,1161
Spain,Austria,SpainAustria,910,935,873,1168,1296,1352,1312,
Sweden,Austria,SwedenAustria,1018,1391,1128,1171,1318,1137,1157,948
Switzerland,Austria,SwitzerlandAustria,1471,1613,1436,1328,1437,1451,,
United Kingdom,Austria,United KingdomAustria,1022,1175,1292,1412,1577,1822,1954,1364
United States,Austria,United StatesAustria,1596,1666,1696,1636,1593,1870,1776,1057
Albania,Azerbaijan,AlbaniaAzerbaijan,,,,,0,0,,
Austria,Azerbaijan,AustriaAzerbaijan,72,66,37,38,34,31,31,
Belgium,Azerbaijan,BelgiumAzerbaijan,54,126,103,56,34,41,35,
Bosnia and Herzegovina,Azerbaijan,Bosnia and HerzegovinaAzerbaijan,,,0,0,0,0,0,
Bulgaria,Azerbaijan,BulgariaAzerbaijan,8,8,7,5,5,7,7,
Croatia,Azerbaijan,CroatiaAzerbaijan,1,1,1,1,1,1,1,
Cyprus,Azerbaijan,CyprusAzerbaijan,3,3,,0,0,,,
Czech Republic,Azerbaijan,Czech RepublicAzerbaijan,398,243,124,166,29,57,14,
Denmark,Azerbaijan,DenmarkAzerbaijan,10,10,11,8,24,9,8,
Estonia,Azerbaijan,EstoniaAzerbaijan,5,11,6,5,6,3,10,
Finland,Azerbaijan,FinlandAzerbaijan,20,20,8,10,10,9,12,
